accepted,actual_increase,alpha_constraint_violation,alpha_max_l1_norm,beta_l1_penalty,class_loss_vector,current_cost,group_bce,group_cost_bce,iteration,predicted_increase,ratio,reduced_objective,sample_bce,sample_cost_bce,step,step_norm,termination,trial_alpha_constraint_violation,trial_alpha_max_l1_norm,trial_beta_l1_penalty,trial_block_a_end_objective,trial_block_a_iterations,trial_block_a_objective_change,trial_block_a_start_objective,trial_cost,trial_group_bce,trial_group_cost_bce,trial_reduced_objective,trial_sample_bce,trial_sample_cost_bce,working_radius
True,0.13153380714938545,2.220446049250313e-16,1.0000000000000002,0.018546419341410835,"[0.2852016700263287, 0.2812865941219863]","[0.5, 0.5]",0.5664882641483151,0.28324413207415755,1,0.08011545184758156,1.6418032241723672,0.3017905514155684,0.5506341591065426,0.2753170795532713,"[0.14239533745321473, 0.14044062044716663]",0.20000000000000004,,0.0,1.0,0.023552024310044817,0.4333243585649538,40,-0.13369995054800837,0.5670243091129622,"[0.6423953374532148, 0.6404406204471667]",0.6392942423896457,0.409772334254909,0.4333243585649538,0.604503493608806,0.387468286124545,0.02
True,0.041181770647754024,0.0,1.0,0.023552024310044817,"[0.1751317502859217, 0.4641624921037241]","[0.6423953374532148, 0.6404406204471667]",0.6392942423896457,0.409772334254909,2,0.14031905046262255,0.2934866685028189,0.4333243585649538,0.604503493608806,0.387468286124545,"[0.09984773968097645, 0.26463263003756726]",0.282842712474619,,0.0,1.0,0.026565768047275812,0.47450612921270785,40,-0.011029918348478107,0.48553604756118596,"[0.7422430771341912, 0.9050732504847339]",0.5488515294915488,0.44794036116543207,0.47450612921270785,0.5271459652774239,0.43046106116482735,0.04
True,0.01074147166489603,0.0,1.0,0.026565768047275812,"[0.2997630946441487, 0.2490884348474001]","[0.7422430771341912, 0.9050732504847339]",0.5488515294915488,0.44794036116543207,3,0.0115373782464884,0.9310149529131874,0.47450612921270785,0.5271459652774239,0.43046106116482735,"[0.02276769444112651, 0.018918837824770746]",0.029602201519557277,,0.0,1.0,0.027775039407813625,0.4852476008776039,40,-0.00027468291999838135,0.48552228379760226,"[0.7650107715753177, 0.9239920883095046]",0.5461900489854833,0.45747256146979026,0.4852476008776039,0.5243871058993255,0.43945118447089837,0.04
False,0.0,0.0,1.0,0.027775039407813625,"[0.29690735663674817, 0.24928269234873504]","[0.7650107715753177, 0.9239920883095046]",0.5461900489854833,0.45747256146979026,4,0.0,-inf,0.4852476008776039,0.5243871058993255,0.43945118447089837,,,no_cost_step,,,,0.4852476008776039,0,0.0,0.4852476008776039,"[0.7650107715753177, 0.9239920883095046]",,,,,,0.08
