accuracy,balanced_accuracy,bce,brier_score,cost_bce,f1,false_negative_rate,false_positive_rate,fn,fp,log_loss,matthews_corrcoef,n_samples,n_sources,negative_support,npv,positive_support,precision,predicted_positive_rate,prevalence,probability_max,probability_mean,probability_min,profile_code,profile_sources,recall,specificity,tn,tp
0.7407407407407407,0.7386363636363636,0.5148582968400219,0.17008744732881637,0.42631609041463825,0.6956521739130435,0.2727272727272727,0.25,3,4,0.5148582968400218,0.47193990372426947,27,1,16,0.8,11,0.6666666666666666,0.4444444444444444,0.4074074074074074,0.8293858028546226,0.4739865457953736,0.09089416374755849,001,source3,0.7272727272727273,0.75,12,8
0.6666666666666666,0.6703296703296704,0.6684744898358529,0.2381015519498168,0.5622276149836192,0.6896551724137931,0.23076923076923078,0.42857142857142855,3,6,0.6684744898358529,0.3464173711074475,27,1,14,0.7272727272727273,13,0.625,0.5925925925925926,0.48148148148148145,0.7222683408536914,0.4978875927751897,0.1865686960423026,010,source2,0.7692307692307693,0.5714285714285714,8,10
0.7704918032786885,0.7716450216450217,0.5001389151624983,0.1658729624305745,0.42896905768213694,0.7812499999999999,0.24242424242424243,0.21428571428571427,8,6,0.5001389151624983,0.541534658916836,61,2,28,0.7333333333333333,33,0.8064516129032258,0.5081967213114754,0.5409836065573771,0.9259371596986989,0.4860478587915522,0.028718557173317356,011,"source2,source3",0.7575757575757576,0.7857142857142857,22,25
0.6585365853658537,0.6638755980861244,0.6013277790222447,0.20587158342564904,0.5003719670459322,0.6666666666666666,0.2631578947368421,0.4090909090909091,5,9,0.6013277790222447,0.3293307291585638,41,1,22,0.7222222222222222,19,0.6086956521739131,0.5609756097560976,0.4634146341463415,0.7964521505737224,0.5230097720424234,0.20804253897273492,100,source1,0.7368421052631579,0.5909090909090909,13,14
0.7142857142857143,0.7153846153846153,0.5375001293711292,0.18192546941708174,0.44921282320956063,0.7037037037037038,0.2692307692307692,0.3,7,9,0.5375001293711292,0.4296689244236597,56,2,30,0.75,26,0.6785714285714286,0.5,0.4642857142857143,0.9763894964460285,0.5003600658312516,0.04832357245097854,101,"source1,source3",0.7307692307692307,0.7,21,19
0.68,0.6883116883116883,0.5903587653505714,0.20302324396118626,0.48962612094978064,0.6756756756756757,0.24242424242424243,0.38095238095238093,8,16,0.5903587653505713,0.375541123303766,75,2,42,0.7647058823529411,33,0.6097560975609756,0.5466666666666666,0.44,0.8947976797512743,0.5073426077632578,0.10865686430444373,110,"source1,source2",0.7575757575757576,0.6190476190476191,26,25
0.7793427230046949,0.7793805309734514,0.47278751313856154,0.15378114297705414,0.3965947035269189,0.768472906403941,0.22,0.22123893805309736,22,25,0.4727875131385615,0.5580208173358038,213,3,113,0.8,100,0.7572815533980582,0.4835680751173709,0.4694835680751174,0.9877826880594546,0.49606993973818425,0.01614521421735327,111,"source1,source2,source3",0.78,0.7787610619469026,88,78
