accuracy,balanced_accuracy,bce,brier_score,cost_bce,f1,false_negative_rate,false_positive_rate,fn,fp,log_loss,matthews_corrcoef,n_samples,n_sources,negative_support,npv,positive_support,precision,predicted_positive_rate,prevalence,probability_max,probability_mean,probability_min,profile_code,profile_sources,recall,specificity,tn,tp
0.7703081232492998,0.7700534759358288,0.49548539614933557,0.16341965852648493,0.4170746365235045,0.7602339181286549,0.23529411764705882,0.22459893048128343,40,42,0.4954853961493357,0.5398522845324522,357,1,187,0.7837837837837838,170,0.7558139534883721,0.48179271708683474,0.47619047619047616,0.9832067197650493,0.48945572253791997,0.010557976431342415,001,source3,0.7647058823529411,0.7754010695187166,145,130
0.6356382978723404,0.6362050874854663,0.6435732610788372,0.2263315420794997,0.5398702867155223,0.6287262872628726,0.35195530726256985,0.3756345177664975,63,74,0.6435732610788372,0.27211324484194965,376,1,197,0.6612903225806451,179,0.6105263157894737,0.5053191489361702,0.47606382978723405,0.863967588711124,0.5046401095352703,0.13658972260845076,010,source2,0.6480446927374302,0.6243654822335025,123,116
0.7773722627737226,0.7770756678931371,0.48252510193555304,0.15807792451348177,0.407322332913163,0.7698113207547169,0.23308270676691728,0.2127659574468085,31,30,0.48252510193555304,0.554284358713364,274,2,141,0.7816901408450704,133,0.7727272727272727,0.48175182481751827,0.4854014598540146,0.9817326580660819,0.4907390739259445,0.01158012354562626,011,"source2,source3",0.7669172932330827,0.7872340425531915,111,102
0.638961038961039,0.6453617760408186,0.6335764508809448,0.22158925935188367,0.5271453762927547,0.6516290726817043,0.2696629213483146,0.4396135265700483,48,91,0.6335764508809449,0.2931280164778081,385,1,207,0.7073170731707317,178,0.5882352941176471,0.574025974025974,0.4623376623376623,0.9292508174851929,0.5209930486809172,0.030744553401213688,100,source1,0.7303370786516854,0.5603864734299517,116,130
0.7695167286245354,0.7695360195360196,0.4861569359742986,0.15957614980382678,0.4073644284927523,0.7578125000000001,0.23015873015873015,0.23076923076923078,29,33,0.4861569359742986,0.5382958370292977,269,2,143,0.7913669064748201,126,0.7461538461538462,0.483271375464684,0.4684014869888476,0.9889052520205588,0.49759011101233597,0.017363930233078535,101,"source1,source3",0.7698412698412699,0.7692307692307693,110,97
0.6840277777777778,0.6904438515643949,0.6092256837408518,0.21116012514689464,0.506936165823916,0.6936026936026936,0.22556390977443608,0.3935483870967742,30,61,0.6092256837408518,0.3834915992507166,288,2,155,0.7580645161290323,133,0.6280487804878049,0.5694444444444444,0.4618055555555556,0.9355588966007524,0.5190114485875547,0.05931358035780373,110,"source1,source2",0.7744360902255639,0.6064516129032258,94,103
0.7793427230046949,0.7793805309734514,0.47278751313856154,0.15378114297705414,0.3965947035269189,0.768472906403941,0.22,0.22123893805309736,22,25,0.4727875131385615,0.5580208173358038,213,3,113,0.8,100,0.7572815533980582,0.4835680751173709,0.4694835680751174,0.9877826880594546,0.49606993973818425,0.01614521421735327,111,"source1,source2,source3",0.78,0.7787610619469026,88,78
